epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9021,0.93747,2.46492,1.313,0.44675,0.42203,0.30509,0.20936,0.94758,2.46894,1.37632,0.000302179,0.000302179,0.000302179
2,126.479,0.98283,1.83374,1.31912,0.47269,0.36084,0.30791,0.20574,1.03794,2.0555,1.42259,0.000599188,0.000599188,0.000599188
3,183.712,1.02445,1.65406,1.3359,0.46717,0.40723,0.33392,0.21694,1.10624,1.91399,1.50886,0.000890197,0.000890197,0.000890197
4,240.515,1.0134,1.54326,1.33791,0.38643,0.40423,0.35564,0.2514,0.95678,1.53741,1.34473,0.000882003,0.000882003,0.000882003
5,297.419,0.98781,1.47042,1.31363,0.37818,0.49014,0.41642,0.30174,0.87648,1.40541,1.2771,0.000873004,0.000873004,0.000873004
6,354.675,0.95067,1.34503,1.28975,0.59046,0.50687,0.4783,0.36068,0.82882,1.27518,1.23395,0.000864004,0.000864004,0.000864004
7,411.89,0.9206,1.27844,1.26866,0.59097,0.52866,0.49862,0.37307,0.84338,1.15955,1.2518,0.000855005,0.000855005,0.000855005
8,469.201,0.91131,1.2344,1.26274,0.56758,0.45826,0.4482,0.32407,0.86728,1.31381,1.26244,0.000846006,0.000846006,0.000846006
9,526.385,0.89297,1.20485,1.24787,0.62918,0.53274,0.53529,0.4181,0.78898,1.09196,1.21419,0.000837007,0.000837007,0.000837007
10,583.41,0.88098,1.16667,1.23703,0.60348,0.56776,0.54463,0.41142,0.78263,1.00202,1.20262,0.000828008,0.000828008,0.000828008
11,640.469,0.87167,1.13586,1.22954,0.61135,0.55979,0.55369,0.42657,0.77384,1.06106,1.19584,0.000819009,0.000819009,0.000819009
12,697.522,0.85847,1.10671,1.22046,0.63781,0.57019,0.59783,0.45452,0.74658,0.97995,1.17242,0.00081001,0.00081001,0.00081001
13,754.522,0.84983,1.08761,1.22162,0.52341,0.76059,0.64921,0.47691,0.75411,0.96018,1.1703,0.000801011,0.000801011,0.000801011
14,811.53,0.83152,1.0597,1.20337,0.6912,0.54469,0.62396,0.47501,0.72667,1.01449,1.154,0.000792012,0.000792012,0.000792012
15,868.636,0.82253,1.02035,1.19295,0.60683,0.72321,0.66418,0.51418,0.72824,0.88085,1.14653,0.000783013,0.000783013,0.000783013
16,925.738,0.80469,1.01622,1.18069,0.49692,0.7473,0.67445,0.51032,0.70909,0.89566,1.13416,0.000774013,0.000774013,0.000774013
17,982.678,0.81384,0.99374,1.19259,0.61774,0.6616,0.67698,0.50858,0.71566,0.86841,1.14042,0.000765014,0.000765014,0.000765014
18,1039.71,0.79565,0.96933,1.17831,0.71592,0.64196,0.69431,0.53345,0.69048,0.87424,1.1233,0.000756015,0.000756015,0.000756015
19,1096.76,0.79609,0.97566,1.17511,0.76818,0.5439,0.6336,0.52013,0.71128,0.83206,1.15036,0.000747016,0.000747016,0.000747016
20,1153.68,0.78971,0.94528,1.17132,0.65259,0.66794,0.72345,0.54528,0.69137,0.82729,1.11606,0.000738017,0.000738017,0.000738017
21,1210.73,0.78047,0.9348,1.1675,0.73503,0.59494,0.6834,0.53809,0.66423,0.81114,1.10413,0.000729018,0.000729018,0.000729018
22,1267.7,0.77724,0.92671,1.16475,0.59427,0.68132,0.71553,0.54662,0.6798,0.85303,1.10438,0.000720019,0.000720019,0.000720019
23,1324.59,0.76779,0.91409,1.16167,0.53718,0.72375,0.67494,0.53025,0.66961,0.80726,1.10528,0.00071102,0.00071102,0.00071102
24,1381.52,0.77106,0.90728,1.16082,0.56419,0.74825,0.70193,0.53229,0.69422,0.82266,1.1093,0.000702021,0.000702021,0.000702021
25,1439.74,0.76927,0.88704,1.16154,0.74018,0.63566,0.68112,0.5398,0.67032,0.797,1.10461,0.000693022,0.000693022,0.000693022
26,1496.98,0.7574,0.89476,1.15099,0.79012,0.59167,0.68019,0.56106,0.63712,0.73685,1.07867,0.000684022,0.000684022,0.000684022
27,1554.06,0.75275,0.86406,1.14644,0.64154,0.6843,0.70327,0.57451,0.62685,0.76226,1.07895,0.000675023,0.000675023,0.000675023
28,1611,0.75681,0.87369,1.15322,0.55518,0.73137,0.66033,0.54753,0.64088,0.76658,1.09,0.000666024,0.000666024,0.000666024
29,1667.9,0.75378,0.88105,1.14743,0.6164,0.72026,0.70587,0.55676,0.64916,0.77035,1.09002,0.000657025,0.000657025,0.000657025
30,1724.84,0.74111,0.84682,1.14009,0.71051,0.63893,0.67061,0.54915,0.65045,0.75776,1.08384,0.000648026,0.000648026,0.000648026
31,1781.89,0.74798,0.83446,1.13741,0.67063,0.68701,0.7068,0.56748,0.64811,0.75622,1.08425,0.000639027,0.000639027,0.000639027
32,1838.73,0.72327,0.82082,1.13013,0.53109,0.81315,0.72294,0.5747,0.62399,0.72233,1.06996,0.000630028,0.000630028,0.000630028
33,1895.81,0.73186,0.81767,1.13183,0.66661,0.71046,0.70324,0.56281,0.62489,0.71867,1.06022,0.000621029,0.000621029,0.000621029
34,1952.79,0.72059,0.80578,1.12724,0.62201,0.78807,0.73223,0.58307,0.62653,0.7196,1.07243,0.00061203,0.00061203,0.00061203
35,2009.9,0.72302,0.80203,1.13027,0.65192,0.7762,0.73551,0.58517,0.62912,0.7129,1.06908,0.000603031,0.000603031,0.000603031
36,2066.99,0.7181,0.79682,1.12391,0.68037,0.65545,0.71494,0.56521,0.63263,0.72997,1.07648,0.000594031,0.000594031,0.000594031
37,2123.94,0.70624,0.78331,1.11436,0.52958,0.77301,0.70325,0.58338,0.6089,0.69049,1.05322,0.000585032,0.000585032,0.000585032
38,2180.94,0.70906,0.78151,1.12166,0.61953,0.74807,0.72101,0.58326,0.6124,0.72396,1.05616,0.000576033,0.000576033,0.000576033
39,2237.78,0.70589,0.77137,1.11399,0.6187,0.70826,0.72046,0.58757,0.60501,0.68807,1.05199,0.000567034,0.000567034,0.000567034
40,2294.75,0.69818,0.76357,1.11189,0.67415,0.69765,0.7359,0.58727,0.60972,0.66729,1.05559,0.000558035,0.000558035,0.000558035
41,2351.74,0.69208,0.75985,1.10923,0.65022,0.69552,0.70189,0.57109,0.625,0.69284,1.0643,0.000549036,0.000549036,0.000549036
42,2408.77,0.69571,0.76019,1.10941,0.66405,0.67626,0.72466,0.58753,0.61579,0.67414,1.06526,0.000540037,0.000540037,0.000540037
43,2465.83,0.6867,0.74057,1.10161,0.73742,0.66726,0.7277,0.6019,0.61988,0.65504,1.06902,0.000531038,0.000531038,0.000531038
44,2522.77,0.68334,0.73288,1.10377,0.63801,0.7734,0.70489,0.58281,0.59106,0.67394,1.04364,0.000522039,0.000522039,0.000522039
45,2579.68,0.68149,0.724,1.10184,0.57965,0.79439,0.70555,0.58314,0.59717,0.69327,1.05228,0.00051304,0.00051304,0.00051304
46,2636.65,0.68355,0.72417,1.10126,0.66169,0.78595,0.74069,0.59793,0.59574,0.66931,1.04679,0.00050404,0.00050404,0.00050404
47,2693.69,0.67369,0.71874,1.09276,0.65796,0.76352,0.74283,0.60625,0.60527,0.66456,1.05307,0.000495041,0.000495041,0.000495041
48,2750.73,0.67307,0.72181,1.0942,0.67553,0.73412,0.7239,0.59512,0.60132,0.67233,1.04844,0.000486042,0.000486042,0.000486042
49,2807.57,0.66606,0.70726,1.09293,0.66971,0.79297,0.74243,0.60978,0.59,0.64713,1.04261,0.000477043,0.000477043,0.000477043
50,2864.48,0.67199,0.69876,1.09052,0.55502,0.80927,0.74481,0.60763,0.58976,0.6537,1.04263,0.000468044,0.000468044,0.000468044
51,2921.22,0.66933,0.69995,1.08939,0.64279,0.79881,0.74295,0.61342,0.58951,0.63628,1.04277,0.000459045,0.000459045,0.000459045
52,2978.1,0.66992,0.69848,1.09477,0.6793,0.77193,0.74764,0.61439,0.58691,0.63879,1.03854,0.000450046,0.000450046,0.000450046
53,3035.16,0.66543,0.67601,1.08772,0.6543,0.74354,0.72258,0.59943,0.57949,0.63957,1.03222,0.000441047,0.000441047,0.000441047
54,3092.19,0.65079,0.67825,1.07829,0.64908,0.77235,0.74059,0.60573,0.58613,0.66751,1.03872,0.000432048,0.000432048,0.000432048
55,3149.13,0.65663,0.68254,1.08766,0.7341,0.71584,0.77021,0.6278,0.58673,0.63842,1.03733,0.000423049,0.000423049,0.000423049
56,3206.02,0.64473,0.66417,1.08079,0.65964,0.77574,0.76219,0.62123,0.5782,0.64238,1.03002,0.000414049,0.000414049,0.000414049
57,3263.01,0.64434,0.67556,1.0766,0.65002,0.7599,0.73007,0.60493,0.57762,0.64013,1.03569,0.00040505,0.00040505,0.00040505
58,3320.42,0.64986,0.65282,1.0787,0.63348,0.7538,0.72099,0.60107,0.57956,0.64139,1.0349,0.000396051,0.000396051,0.000396051
59,3378.39,0.64246,0.65837,1.07647,0.71834,0.68936,0.73363,0.6103,0.56919,0.65061,1.02703,0.000387052,0.000387052,0.000387052
60,3435.06,0.63299,0.64973,1.06923,0.7214,0.72311,0.75287,0.61885,0.5785,0.63303,1.03487,0.000378053,0.000378053,0.000378053
61,3491.74,0.64015,0.64318,1.07847,0.70548,0.74176,0.7545,0.61733,0.57886,0.61673,1.03711,0.000369054,0.000369054,0.000369054
62,3548.49,0.63286,0.63923,1.07405,0.64896,0.78,0.74345,0.61257,0.56783,0.6337,1.03545,0.000360055,0.000360055,0.000360055
63,3605.15,0.62226,0.63063,1.06415,0.71242,0.77035,0.7652,0.62359,0.57214,0.61554,1.03854,0.000351056,0.000351056,0.000351056
64,3661.84,0.63128,0.63873,1.07012,0.68235,0.76416,0.76412,0.63095,0.56575,0.60734,1.02555,0.000342057,0.000342057,0.000342057
65,3718.46,0.63318,0.63801,1.07191,0.68702,0.78386,0.76519,0.63144,0.56678,0.62925,1.02258,0.000333058,0.000333058,0.000333058
66,3775.07,0.62269,0.62636,1.06414,0.69006,0.77017,0.75794,0.62803,0.56016,0.61907,1.02059,0.000324058,0.000324058,0.000324058
67,3831.58,0.62205,0.61828,1.06317,0.7019,0.76933,0.75659,0.62164,0.56759,0.61429,1.02984,0.000315059,0.000315059,0.000315059
68,3888.08,0.61573,0.60676,1.05784,0.63659,0.82775,0.75279,0.62107,0.56483,0.62434,1.02405,0.00030606,0.00030606,0.00030606
69,3944.74,0.62143,0.62174,1.06726,0.75935,0.67282,0.77448,0.63811,0.56402,0.61533,1.02854,0.000297061,0.000297061,0.000297061
70,4001.35,0.61181,0.61648,1.06152,0.71979,0.71906,0.76881,0.63561,0.56293,0.6191,1.0259,0.000288062,0.000288062,0.000288062
71,4059.93,0.61061,0.58986,1.05451,0.67304,0.79454,0.78022,0.6483,0.55965,0.62079,1.02365,0.000279063,0.000279063,0.000279063
72,4116.62,0.60756,0.59609,1.0549,0.72085,0.74291,0.78688,0.64426,0.54906,0.60164,1.01251,0.000270064,0.000270064,0.000270064
73,4173.21,0.60341,0.60287,1.05008,0.68586,0.76367,0.77687,0.64479,0.55483,0.61573,1.02101,0.000261065,0.000261065,0.000261065
74,4229.91,0.59972,0.59333,1.04981,0.68358,0.79355,0.77292,0.64443,0.56495,0.60444,1.0292,0.000252066,0.000252066,0.000252066
75,4286.47,0.60259,0.59586,1.05574,0.6667,0.75604,0.7459,0.62908,0.56668,0.60631,1.03505,0.000243067,0.000243067,0.000243067
76,4343,0.60285,0.59094,1.05213,0.67324,0.76843,0.75555,0.63229,0.55861,0.60602,1.02751,0.000234068,0.000234068,0.000234068
77,4399.52,0.59425,0.57136,1.04847,0.68258,0.77433,0.77789,0.65302,0.56097,0.59425,1.03421,0.000225068,0.000225068,0.000225068
78,4456.27,0.58818,0.57125,1.04181,0.7282,0.72031,0.77047,0.64356,0.56126,0.60079,1.03016,0.000216069,0.000216069,0.000216069
79,4512.92,0.59541,0.57542,1.04632,0.6917,0.81276,0.79375,0.65593,0.55503,0.59629,1.02251,0.00020707,0.00020707,0.00020707
80,4569.43,0.5879,0.57069,1.04481,0.67487,0.80055,0.76273,0.63897,0.55375,0.60074,1.02335,0.000198071,0.000198071,0.000198071
81,4625.98,0.58899,0.56181,1.04229,0.70582,0.75196,0.77972,0.65278,0.55945,0.61219,1.02928,0.000189072,0.000189072,0.000189072
82,4682.63,0.58017,0.55917,1.03903,0.71925,0.74038,0.7842,0.65533,0.55301,0.60416,1.0216,0.000180073,0.000180073,0.000180073
83,4739.27,0.58555,0.55674,1.04566,0.73585,0.74143,0.7915,0.66142,0.55395,0.59882,1.0213,0.000171074,0.000171074,0.000171074
84,4795.84,0.57852,0.555,1.04058,0.71191,0.78148,0.76587,0.64407,0.55141,0.601,1.02047,0.000162075,0.000162075,0.000162075
85,4852.49,0.58009,0.54611,1.03631,0.75495,0.74375,0.77146,0.64569,0.55374,0.60934,1.0199,0.000153076,0.000153076,0.000153076
86,4909.15,0.5769,0.55459,1.0369,0.73892,0.75443,0.7769,0.65134,0.55327,0.59692,1.01987,0.000144077,0.000144077,0.000144077
87,4966.04,0.5755,0.54641,1.03825,0.7318,0.76967,0.77208,0.64836,0.54647,0.5924,1.01522,0.000135077,0.000135077,0.000135077
88,5022.76,0.57754,0.5501,1.04217,0.74438,0.77399,0.78235,0.65969,0.54736,0.58963,1.02067,0.000126078,0.000126078,0.000126078
89,5079.41,0.57174,0.53475,1.03087,0.71963,0.80417,0.77645,0.64542,0.54528,0.60118,1.01517,0.000117079,0.000117079,0.000117079
90,5136.17,0.57225,0.54032,1.03514,0.73243,0.75992,0.78072,0.65087,0.55294,0.60112,1.0213,0.00010808,0.00010808,0.00010808
